frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
1,1,0.2,13,13,4,4,3,3,4,4,2,2,0,524.0,524.0,519.0,522.0
2,2,0.4,16,16,4,4,4,4,6,6,2,2,0,524.0,524.0,519.0,522.0
3,3,0.6,13,13,4,4,3,3,4,4,2,2,0,524.0,524.0,519.0,522.0
4,4,0.8,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
5,5,1.0,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
6,6,1.2,14,14,4,4,4,4,4,4,2,2,0,524.0,524.0,519.0,522.0
7,7,1.4,15,15,4,4,5,5,4,4,2,2,0,524.0,524.0,519.0,522.0
8,8,1.6,16,16,4,4,5,5,5,5,2,2,0,524.0,524.0,519.0,522.0
9,9,1.8,14,14,4,4,4,4,4,4,2,2,0,524.0,524.0,519.0,522.0
10,10,2.0,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
11,11,2.2,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
12,12,2.4,16,16,4,4,4,4,5,5,3,3,0,524.0,524.0,519.0,522.0
13,13,2.6,14,14,4,4,3,3,5,5,2,2,0,524.0,524.0,519.0,522.0
14,14,2.8,14,14,4,4,4,4,4,4,2,2,0,524.0,524.0,519.0,522.0
15,15,3.0,14,14,4,4,3,3,4,4,3,3,0,524.0,524.0,519.0,522.0
16,16,3.2,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
17,17,3.4,15,15,4,4,3,3,6,6,2,2,0,524.0,524.0,519.0,522.0
18,18,3.6,15,15,4,4,3,3,6,6,2,2,0,524.0,524.0,519.0,522.0
19,19,3.8,16,15,4,4,3,3,7,6,2,2,0,524.0,524.0,519.0,522.0
20,20,4.0,16,15,4,4,3,3,7,6,2,2,0,524.0,524.0,519.0,522.0
21,21,4.2,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
22,22,4.4,16,16,4,4,4,4,6,6,2,2,0,524.0,524.0,519.0,522.0
23,23,4.6,13,13,4,4,3,3,4,4,2,2,0,524.0,524.0,519.0,522.0
24,24,4.8,15,15,4,4,4,4,5,5,2,2,0,524.0,524.0,519.0,522.0
25,25,5.0,16,16,4,4,4,4,5,5,3,3,0,524.0,524.0,519.0,522.0
26,26,5.2,16,16,4,4,4,4,5,5,3,3,0,524.0,524.0,519.0,522.0
27,27,5.4,16,15,4,4,4,4,5,4,3,3,0,524.0,524.0,519.0,522.0
28,28,5.6,16,16,4,4,4,4,5,5,3,3,0,524.0,524.0,519.0,522.0
29,29,5.8,15,14,4,4,4,4,5,4,2,2,0,524.0,524.0,519.0,522.0
30,30,6.0,14,14,4,4,4,4,4,4,2,2,0,524.0,524.0,519.0,522.0
31,31,6.2,16,15,4,4,4,4,5,4,3,3,0,524.0,524.0,519.0,522.0
32,32,6.4,15,15,4,4,4,4,4,4,3,3,0,524.0,524.0,519.0,522.0
33,33,6.6,13,13,4,4,3,3,4,4,2,2,0,524.0,524.0,519.0,522.0
34,34,6.8,14,13,4,4,4,4,4,3,2,2,0,524.0,524.0,519.0,522.0
35,35,7.0,15,14,4,4,4,4,5,4,2,2,0,524.0,524.0,519.0,522.0
36,36,7.2,17,15,4,4,4,4,6,4,3,3,0,524.0,524.0,519.0,522.0
37,37,7.4,16,14,4,4,4,4,6,4,2,2,0,524.0,524.0,519.0,522.0
38,38,7.6,15,13,3,3,4,4,6,4,2,2,0,524.0,524.0,519.0,522.0
39,39,7.8,16,14,4,4,4,4,6,4,2,2,0,524.0,524.0,519.0,522.0
40,40,8.0,17,14,4,4,4,4,7,4,2,2,0,524.0,524.0,519.0,522.0
41,41,8.2,16,13,4,4,3,3,7,4,2,2,0,524.0,524.0,519.0,522.0
42,42,8.4,14,13,4,4,3,3,5,4,2,2,0,524.0,524.0,519.0,522.0
43,43,8.6,15,14,4,4,4,4,5,4,2,2,0,524.0,524.0,519.0,522.0
44,44,8.8,16,15,4,4,3,3,5,4,4,4,0,524.0,524.0,519.0,522.0
45,45,9.0,17,16,4,4,4,4,5,4,4,4,0,524.0,524.0,519.0,522.0
46,46,9.2,16,15,4,4,4,4,5,4,3,3,0,524.0,524.0,519.0,522.0
47,47,9.4,15,14,4,4,4,4,5,4,2,2,0,524.0,524.0,519.0,522.0
48,48,9.6,14,13,4,4,4,4,4,3,2,2,0,524.0,524.0,519.0,522.0
49,49,9.8,16,15,4,4,4,4,5,4,3,3,0,524.0,524.0,519.0,522.0
