frame_index,time_s,x_px,y_px,bbox_x,bbox_y,bbox_w,bbox_h,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,detected,internal_track_id,display_id,physical_vial_index,assay_tube_index,label,dt_s,dx_px,dy_px,displacement_px,speed_px_s_raw,vertical_velocity_px_s_raw,height_px_smoothed,speed_px_s_smoothed,vertical_velocity_px_s_smoothed,height_mm_smoothed,vertical_velocity_mm_s_raw,vertical_velocity_mm_s_smoothed,displacement_mm,speed_mm_s_raw,speed_mm_s_smoothed
0,0.0,385.7083333333333,772.6354166666666,383,764,7,21,24.708333333333314,,11.364583333333371,,11.364583333333371,,0.1293630017452006,0.019327522675737025,True,1,1,2,2,"fly (2,1)",,,,,,,11.230537280701753,0.6863821062783906,-0.6702302631580892,,,,,,
1,0.2,385.64912280701753,772.9035087719299,383,763,7,22,24.649122807017534,,11.096491228070136,,11.096491228070136,,0.1290529989896206,0.018871583721207712,True,1,1,2,2,"fly (2,1)",0.2,-0.0592105263157805,0.2680921052632357,0.27455284251135625,1.3727642125567812,-1.3404605263161784,11.311429615705947,1.1361786012506607,0.18105158730160534,,,,,,
2,0.4,385.80357142857144,772.5267857142857,383,763,8,22,24.803571428571445,,11.473214285714334,,11.473214285714334,,0.12986163051608085,0.019512269193391725,True,1,1,2,2,"fly (2,1)",0.2,0.15444862155391093,-0.3767230576441989,0.4071543182390402,2.035771591195201,1.8836152882209944,11.384592103414889,1.353856974092562,0.36581243854470813,,,,,,
3,0.6,385.7345132743363,772.4159292035398,383,762,7,23,24.73451327433628,,11.584070796460196,,11.584070796460196,,0.12950006949914283,0.019700800674252034,True,1,1,2,2,"fly (2,1)",0.19999999999999996,-0.06905815423516515,-0.11085651074586167,0.13060702370514077,0.653035118525704,0.5542825537293085,11.673640481936976,1.6127680860660085,1.4452418926104353,,,,,,
4,0.8,385.93636363636364,772.0363636363636,383,762,7,23,24.936363636363637,,11.963636363636397,,11.963636363636397,,0.13055687767729654,0.020346320346320404,True,1,1,2,2,"fly (2,1)",0.20000000000000007,0.20185036202735773,-0.3795655671762006,0.4298995096954243,2.149497548477121,1.8978278358810023,12.182569053365532,2.721549794586203,2.544642857142776,,,,,,
5,1.0,386.2121212121212,771.0,383,762,8,20,25.21212121212119,,13.0,,13.0,,0.13200063461843556,0.022108843537414966,True,1,1,2,2,"fly (2,1)",0.19999999999999996,0.27575757575755233,-1.0363636363636033,1.0724233433511567,5.362116716755785,5.181818181818017,12.44316334072433,3.680076052218079,1.3029714367939957,,,,,,
6,1.2,385.9024390243902,771.6341463414634,383,764,7,18,24.90243902439022,,12.365853658536594,,12.365853658536594,,0.1303792619078022,0.021030363364858154,True,1,1,2,2,"fly (2,1)",0.19999999999999996,-0.3096821877309708,0.6341463414634063,0.705722778284266,3.528613891421331,-3.1707317073170325,12.955284552845532,4.932628366620995,2.5606060606060055,,,,,,
7,1.4,386.23333333333335,770.5,383,762,8,20,25.23333333333335,,13.5,,13.5,,0.13211169284467722,0.02295918367346939,True,1,1,2,2,"fly (2,1)",0.19999999999999996,0.33089430894312954,-1.1341463414634063,1.1814308983371735,5.907154491685869,5.6707317073170325,12.721951219512183,5.163377608414073,-1.1666666666667407,,,,,,
8,1.6,386.07142857142856,771.7,384,765,6,16,25.071428571428555,,12.299999999999955,,12.299999999999955,,0.1312640239341809,0.020918367346938697,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.1619047619047933,1.2000000000000455,1.2108728884270046,6.054364442135017,-6.000000000000222,12.699999999999969,3.9871729779402956,-0.10975609756106319,,,,,,
9,1.8,386.07142857142856,771.7,384,765,6,16,25.071428571428555,,12.299999999999955,,12.299999999999955,,0.1312640239341809,0.020918367346938697,True,1,1,2,2,"fly (2,1)",0.19999999999999996,0.0,0.0,0.0,0.0,0.0,12.272463768115927,2.187318354493971,-2.137681159420214,,,,,,
10,2.0,386.1304347826087,771.7826086956521,384,765,6,16,25.13043478260869,,12.21739130434787,,12.21739130434787,,0.13157295697700883,0.020777876367938555,True,1,1,2,2,"fly (2,1)",0.19999999999999996,0.05900621118013305,0.08260869565208395,0.10151812426937908,0.5075906213468955,-0.41304347826041987,12.272463768115927,0.3094841683388538,-1.6653345369377348e-16,,,,,,
11,2.2,386.1142857142857,771.7,384,765,6,16,25.1142857142857,,12.299999999999955,,12.299999999999955,,0.13148840688107696,0.020918367346938697,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.01614906832298857,-0.08260869565208395,0.08417237673393324,0.4208618836696658,0.41304347826041937,11.462786348761105,4.3799569811894115,-4.048387096774117,,,,,,
12,2.4,385.86021505376345,774.1290322580645,383,765,7,20,24.860215053763454,,9.870967741935488,,9.870967741935488,,0.13015819399876155,0.016787360105332463,True,1,1,2,2,"fly (2,1)",0.19999999999999973,-0.25407066052224536,2.429032258064467,2.442283687710331,12.211418438551672,-12.145161290322351,11.053587886767597,6.102396062844654,-2.0459923099675428,,,,,,
13,2.6,386.05102040816325,773.0102040816327,383,763,7,22,25.051020408163254,,10.98979591836735,,10.98979591836735,,0.1311571749118495,0.01869012911286964,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.1908053543997994,-1.1188281764318617,1.1349815732625257,5.674907866312624,5.594140882159303,10.094892234593695,8.609976896762232,-4.793478260869517,,,,,,
14,2.8,385.7826086956522,774.5760869565217,382,765,8,20,24.782608695652186,,9.423913043478251,,9.423913043478251,,0.1297518779877078,0.016027062999112673,True,1,1,2,2,"fly (2,1)",0.19999999999999973,-0.26841171251106744,1.5658828748890983,1.5887208770844776,7.9436043854223986,-7.829414374445502,10.363597431726324,6.700164306723647,1.3435259856631327,,,,,,
15,3.0,386.1145833333333,773.3229166666666,383,764,7,21,25.114583333333314,,10.677083333333371,,10.677083333333371,,0.13148996509598593,0.018158304988662197,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.3319746376811281,-1.2531702898551202,1.2963961336871852,6.48198066843592,6.265851449275596,10.067373324105764,5.787273238992817,-1.4811205381028045,,,,,,
16,3.2,386.0,773.8988764044943,383,765,7,20,25.0,,10.101123595505669,,10.101123595505669,,0.13089005235602094,0.017178781625009642,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.11458333333331439,0.5759597378277022,0.5872469326240273,2.9362346631201337,-2.879798689138508,10.241286367584015,3.4776382461179005,0.869565217391254,,,,,,
17,3.4,385.8695652173913,774.054347826087,382,765,8,20,24.86956521739131,,9.945652173913004,,9.945652173913004,,0.13020714773503306,0.01691437444543028,True,1,1,2,2,"fly (2,1)",0.19999999999999973,-0.13043478260868824,0.15547142159266514,0.20293988135952967,1.0146994067976498,-0.7773571079633267,10.044265758265018,1.5925910280739621,-0.9851030465949856,,,,,,
18,3.6,385.9569892473118,773.9139784946236,382,765,9,20,24.95698924731181,,10.08602150537638,,10.08602150537638,,0.13066486516917178,0.01715309779825915,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.08742402992049847,-0.1403693314633756,0.1653678028608206,0.8268390143041022,0.7018466573168773,10.330002337540918,2.0729579179218605,1.4286828963795053,,,,,,
19,3.8,386.03125,773.0416666666666,383,764,7,21,25.03125,,10.958333333333371,,10.958333333333371,,0.13105366492146597,0.01863662131519281,True,1,1,2,2,"fly (2,1)",0.19999999999999973,0.07426075268818977,-0.8723118279569917,0.875467066532765,4.37733533266383,4.361559139784965,10.524148242116743,2.4536861957936753,0.9707295228791232,,,,,,
20,4.0,386.0,773.4719101123595,383,765,7,20,25.0,,10.528089887640476,,10.528089887640476,,0.13089005235602094,0.017904914774898768,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.03125,0.43024344569289497,0.4313768480826191,2.1568842404130937,-2.151217228464473,10.632511444028333,2.373037818574511,0.5418160095579606,,,,,,
21,4.2,386.0,773.5888888888888,383,765,7,20,25.0,,10.411111111111154,,10.411111111111154,,0.13089005235602094,0.017705971277399923,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.0,0.1169787765293222,0.1169787765293222,0.5848938826466105,-0.5848938826466105,10.474239160756042,1.0400385503477014,-0.7913614163614578,,,,,,
22,4.4,385.97802197802196,773.5164835164835,383,765,7,20,24.978021978021957,,10.483516483516496,,10.483516483516496,,0.13077498417812544,0.017829109665844382,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.021978021978043216,-0.07240537240534195,0.07566750559668003,0.3783375279833998,0.3620268620267094,10.843080993081003,2.285277464605709,1.8442091616248106,,,,,,
23,4.6,386.2307692307692,772.3653846153846,383,763,8,22,25.230769230769226,,11.634615384615358,,11.634615384615358,,0.13209826822392265,0.019786760858189385,True,1,1,2,2,"fly (2,1)",0.1999999999999993,0.2527472527472696,-1.1510989010988624,1.178520196637419,5.8926009831871164,5.755494505494332,11.566509072323015,3.729218121587511,3.6171403962100666,,,,,,
24,4.8,385.9651162790698,771.4186046511628,383,764,7,17,24.965116279069775,,12.58139534883719,,12.58139534883719,,0.13070741507366374,0.02139693086536937,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.265652951699451,-0.9467799642218324,0.9833431707184044,4.9167158535920175,4.733899821109158,11.65946232369212,6.659456141471016,0.4647662568455348,,,,,,
25,5.0,385.73267326732673,773.2376237623762,382,763,8,22,24.73267326732673,,10.762376237623812,,10.762376237623812,,0.12949043595459023,0.018303360948339818,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.23244301174304383,1.819019111213379,1.8338103175267848,9.169051587633916,-9.095095556066886,11.417311617255715,5.158599956790877,-1.2107535321820235,,,,,,
26,5.2,385.96938775510205,773.0918367346939,383,764,7,21,24.969387755102048,,10.908163265306143,,10.908163265306143,,0.13072977882252382,0.018551298070248544,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.23671448777531623,-0.14578702768233143,0.27800648582934034,1.3900324291467006,0.7289351384116565,11.450179834309969,6.618726792498651,0.1643410852712659,,,,,,
27,5.4,386.53333333333336,771.32,384,764,7,17,25.53333333333336,,12.67999999999995,,12.67999999999995,,0.13368237347294953,0.021564625850340052,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.5639455782313121,-1.7718367346938066,1.859419272143069,9.297096360715337,8.859183673469026,12.067849293563578,3.9741443117159996,3.0883472962680467,,,,,,
28,5.6,386.2948717948718,771.3846153846154,383,764,7,17,25.294871794871824,,12.615384615384642,,12.615384615384642,,0.13243388374278442,0.021454735740450072,True,1,1,2,2,"fly (2,1)",0.1999999999999993,-0.23846153846153584,0.06461538461530836,0.24706082905719143,1.2353041452859614,-0.32307692307654295,12.234383868558629,5.612378996623107,0.8326728749752487,,,,,,
29,5.8,385.93203883495147,772.5922330097087,383,763,7,22,24.93203883495147,,11.407766990291293,,11.407766990291293,,0.1305342347379658,0.01940096426920288,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.3628329599203539,1.2076176250933486,1.260947296773606,6.304736483868024,-6.038088125466738,12.05771720189197,3.8086612840530027,-0.8833333333332875,,,,,,
30,6.0,386.1625,771.85,383,764,7,17,25.162500000000023,,12.149999999999977,,12.149999999999977,,0.1317408376963352,0.02066326530612241,True,1,1,2,2,"fly (2,1)",0.20000000000000018,0.23046116504855263,-0.7422330097086842,0.7771886446010055,3.885943223005024,3.711165048543418,11.50073714491191,5.426880246688447,-2.784900284900305,,,,,,
31,6.2,385.9888888888889,773.0555555555555,383,764,7,21,24.98888888888888,,10.944444444444457,,10.944444444444457,,0.13083187899941823,0.01861300075585792,True,1,1,2,2,"fly (2,1)",0.20000000000000018,-0.1736111111111427,1.2055555555555202,1.2179922066384596,6.089961033192293,-6.027777777777596,11.420370370370355,3.8460711630668745,-0.4018338727077732,,,,,,
