physical_vial_index,assay_tube_index,bbox_x,bbox_y,bbox_w,bbox_h,center_x_px,center_y_px,area_px,frame_index,time_s,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,threshold_used
3,1,613,188,8,18,616.3153153153153,196.35135135135135,111,0,0.0,41.315315315315274,,579.6486486486486,,579.6486486486486,,0.2163105513890852,0.9857970215113072,19.0
3,1,619,488,12,19,624.6206896551724,496.7528735632184,174,0,0.0,49.62068965517244,,279.2471264367816,,279.2471264367816,,0.2597941866762955,0.4749100789741184,19.0
3,1,677,684,25,16,688.8811881188119,691.3993399339934,303,0,0.0,113.8811881188119,,84.60066006600664,,84.60066006600664,,0.5962365870094865,0.14387867358164394,19.0
3,1,616,188,7,9,618.8301886792453,191.39622641509433,53,1,0.2,43.83018867924534,,584.6037735849056,,584.6037735849056,,0.22947742764002796,0.9942241047362341,19.0
3,1,627,462,12,19,632.2126436781609,470.6551724137931,174,1,0.2,57.21264367816093,,305.3448275862069,,305.3448275862069,,0.2995426370584342,0.5192939244663383,19.0
3,1,670,685,24,17,681.0063897763578,692.4536741214058,313,1,0.2,106.00638977635776,,83.54632587859419,,83.54632587859419,,0.5550072763160092,0.1420855882289017,19.0
3,1,618,188,5,4,619.5384615384615,189.0,13,2,0.4,44.53846153846155,,587.0,,587.0,,0.23318566250503428,0.9982993197278912,19.0
3,1,719,188,9,6,722.8205128205128,189.92307692307693,39,2,0.4,147.82051282051282,,586.0769230769231,,586.0769230769231,,0.7739293864948315,0.9967294610151753,19.0
3,1,633,432,11,19,637.578947368421,440.64912280701753,171,2,0.4,62.57894736842104,,335.35087719298247,,335.35087719298247,,0.32763846789749235,0.5703246210765008,19.0
3,1,662,691,24,17,673.1279461279462,698.8451178451178,297,2,0.4,98.12794612794619,,77.15488215488222,,77.15488215488222,,0.5137588802510271,0.13121578597769085,19.0
3,1,725,188,14,9,731.71875,191.28125,96,3,0.6,156.71875,,584.71875,,584.71875,,0.8205170157068062,0.9944196428571429,20.0
3,1,637,404,11,21,642.0852272727273,413.9375,176,3,0.6,67.08522727272725,,362.0625,,362.0625,,0.3512315564017134,0.6157525510204082,20.0
3,1,650,698,23,15,660.7686832740213,704.6227758007118,281,3,0.6,85.76868327402133,,71.37722419928821,,71.37722419928821,,0.44905069776974516,0.1213898370736194,20.0
3,1,732,188,14,13,737.8257575757575,193.5909090909091,132,4,0.8,162.8257575757575,,582.4090909090909,,582.4090909090909,,0.852490877359987,0.9904916512059369,20.0
3,1,637,375,10,19,641.3141025641025,383.68589743589746,156,4,0.8,66.31410256410254,,392.31410256410254,,392.31410256410254,,0.347194254262317,0.6672008547008547,20.0
3,1,638,699,24,15,648.9160583941606,705.521897810219,274,4,0.8,73.91605839416059,,70.478102189781,,70.478102189781,,0.3869950701264952,0.11986071800983163,20.0
3,1,738,188,13,10,743.3980582524272,191.83495145631068,103,5,1.0,168.39805825242718,,584.1650485436893,,584.1650485436893,,0.8816652264524983,0.9934779737137573,19.0
3,1,630,347,12,19,635.2134146341464,355.969512195122,164,5,1.0,60.213414634146375,,420.030487804878,,420.030487804878,,0.3152534797599287,0.7143375642940102,19.0
3,1,642,699,19,21,650.5306859205776,708.5559566787003,277,5,1.0,75.53068592057764,,67.44404332129966,,67.44404332129966,,0.39544861738522324,0.11470075394778853,19.0
3,1,740,188,11,8,744.7564102564103,191.1153846153846,78,6,1.2,169.75641025641028,,584.8846153846154,,584.8846153846154,,0.8887770170492685,0.9947017268445839,20.0
3,1,619,320,12,19,624.5705128205128,328.94871794871796,156,6,1.2,49.57051282051282,,447.05128205128204,,447.05128205128204,,0.25953148073566923,0.7602912960055818,20.0
3,1,653,698,14,24,659.6870229007634,709.2671755725191,262,6,1.2,84.6870229007634,,66.73282442748086,,66.73282442748086,,0.4433875544542586,0.11349119800591984,20.0
3,1,748,188,3,7,749.0555555555555,190.55555555555554,18,7,1.4,174.05555555555554,,585.4444444444445,,585.4444444444445,,0.9112856311809191,0.9956538170823885,20.0
3,1,611,295,11,18,615.7236842105264,303.6842105263158,152,7,1.4,40.72368421052636,,472.3157894736842,,472.3157894736842,,0.21321300633783433,0.8032581453634086,20.0
3,1,660,697,16,26,667.3821428571429,708.9,280,7,1.4,92.38214285714287,,67.10000000000002,,67.10000000000002,,0.48367614061331343,0.11411564625850344,20.0
3,1,606,274,10,18,610.3676470588235,282.4485294117647,136,8,1.6,35.367647058823536,,493.5514705882353,,493.5514705882353,,0.18517092700954732,0.8393732492997199,20.0
3,1,663,699,21,22,672.9824561403509,709.0771929824562,285,8,1.6,97.9824561403509,,66.92280701754385,,66.92280701754385,,0.5129971525672822,0.1138142976488841,20.0
3,1,602,250,10,17,606.1203007518797,258.16541353383457,133,9,1.8,31.120300751879654,,517.8345864661654,,517.8345864661654,,0.16293351178994583,0.8806710654186487,21.0
3,1,674,696,22,18,684.8576779026217,704.3370786516854,267,9,1.8,109.85767790262173,,71.66292134831463,,71.66292134831463,,0.5751710884954018,0.12187571657876638,21.0
3,1,599,228,10,16,603.0252100840336,235.50420168067228,119,10,2.0,28.025210084033574,,540.4957983193277,,540.4957983193277,,0.14672884860750562,0.9192105413594008,20.0
3,1,679,692,23,16,690.0842490842491,699.5238095238095,273,10,2.0,115.08424908424911,,76.47619047619048,,76.47619047619048,,0.6025353355196288,0.1300615484288954,20.0
