internal_track_id,display_id,assay_tube_index,physical_vial_index,label,start_frame_index,end_frame_index,start_time_s,end_time_s,duration_s,n_samples,n_detected_samples,crossing_detected,unique_crossing_detected,unique_crossing_event_id,first_crossing_frame_index,first_crossing_time_s,threshold_distance_px,max_height_px,mean_height_px,max_vertical_velocity_px_s_raw,mean_vertical_velocity_px_s_raw,max_vertical_velocity_px_s_smoothed,mean_vertical_velocity_px_s_smoothed,max_speed_px_s_raw,mean_speed_px_s_raw,max_speed_px_s_smoothed,mean_speed_px_s_smoothed,threshold_distance_mm,max_height_mm,mean_height_mm,max_vertical_velocity_mm_s_raw,mean_vertical_velocity_mm_s_raw,max_vertical_velocity_mm_s_smoothed,mean_vertical_velocity_mm_s_smoothed,max_speed_mm_s_raw,mean_speed_mm_s_raw,max_speed_mm_s_smoothed,mean_speed_mm_s_smoothed
1,1,1,1,"fly (1,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,501.0,24.957654723127007,23.73015617636742,7.0890688259112284,-0.12505733073702835,3.5322262876443733,-0.10838621247767657,15.389118326382764,2.3835374388010586,8.068864093746543,2.3828355691205685,66.91151919866444,3.333242700918465,3.169302995174279,0.9467871553804665,-0.016702147677733314,0.4717497546102675,-0.014475621032076981,1.5574304250494517,0.2539755730077748,0.8488672102439562,0.253458136321202
2,1,2,2,"fly (2,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,498.0,72.38345864661653,69.78366335813976,6.979865771812109,-0.7987257402961211,0.9381898454745361,-0.7951887114961849,9.616149904583686,1.8818217275519262,6.805066675818392,1.8512486762224016,68.1025641025641,9.89859263543474,9.543065074617406,0.9545115585384059,-0.10922745166442668,0.12829946604779968,-0.10874375541828157,1.314847321715592,0.24280342319635423,0.9241516720699554,0.23879078385822866
3,2,2,2,"fly (2,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,498.0,481.6979166666667,324.560530379857,62.766251728907264,35.242960740634274,54.339670033971466,34.68003724515411,63.37014209371731,36.295666730447195,55.39847394147628,35.71617294882979,68.1025641025641,65.87321937321937,44.38434603485224,8.583419039850561,4.819550186753405,7.431065987551659,4.742569195918511,8.632963259921853,4.9286862223118515,7.518104322736748,4.849891491440063
4,3,2,2,"fly (2,3)",0,49,0.0,9.8,9.8,50,50,False,False,,,,498.0,192.16666666666674,191.50099486077437,3.393333333333412,-0.03430538480452863,1.092580645161344,-0.05387818796554326,8.16754218774746,1.110229480411958,5.822653437666916,1.105584206040481,68.1025641025641,26.27920227920229,26.188170237370855,0.46404558404558677,-0.004691334674123684,0.14941273779984296,-0.0073679573286213685,0.8924646395026788,0.13371376098939458,0.6817289265271398,0.13265100770281915
18,4,2,2,"fly (2,4)",5,49,1.0,9.8,8.8,45,45,False,False,,,,498.0,381.80555555555554,255.91760004818886,109.75744167337088,43.16592056932964,97.85318597919878,42.31025466303243,109.80033444971548,44.27948471882187,98.05663880361105,43.42189544171238,68.1025641025641,52.212725546058884,34.99727863906857,15.009564673281503,5.903031872728841,13.381632270659663,5.786017731696744,15.013077206646976,6.027385255788993,13.398307720359446,5.909557309292743
5,1,3,3,"fly (3,1)",0,49,0.0,9.8,9.8,50,50,False,False,,,,497.0,47.37104072398188,41.27239605558849,54.77231996365217,-0.43308487669391593,18.8174992011928,-0.7144231150727529,54.7735639984096,12.973547838742622,37.73924153213338,12.977533648596916,68.31615120274914,6.511483261028437,5.673181588397044,7.528841232117138,-0.05953056724314996,2.586597828342654,-0.09820249004436471,7.5289404661951,1.7824447061811866,5.187197697741149,1.7830071866728752
6,2,3,3,"fly (3,2)",0,49,0.0,9.8,9.8,50,50,False,False,,,,497.0,211.5588235294117,209.30998838011277,3.976558190843221,-0.27976333390497743,1.8961689939131592,-0.2892508518295713,10.960959904334278,1.9379141921102256,6.504572754624845,1.9117533877044328,68.31615120274914,29.08025065696381,28.77113242338321,0.5466059368856709,-0.03845544108659497,0.2606417861049046,-0.03975956726179686,1.1494714840593983,0.23393111959057697,0.7743926341720991,0.23069095010899482
15,3,3,3,"fly (3,3)",1,23,0.2,4.6,4.3999999999999995,9,9,False,False,,,,497.0,92.23529411764707,84.90186538554313,17.5151515151515,1.0537277423809142,8.75757575757575,1.4058910858161902,17.51517772882592,9.022988460595931,14.168223191500955,8.489678037801479,68.31615120274914,12.67839094400647,11.67035950316744,2.4075809642819923,0.14484230135820098,1.2037904821409962,0.19324963378916682,2.4075830552832396,1.2402723038227514,1.9475203789589328,1.1669651633696576
19,4,3,3,"fly (3,4)",16,16,3.2,3.2,0.0,1,1,False,False,,,,497.0,15.965608465608511,15.965608465608511,,,0.0,0.0,,,0.0,0.0,68.31615120274914,2.19458535609739,2.19458535609739,,,0.0,0.0,,,0.0,0.0
20,5,3,3,"fly (3,5)",46,49,9.2,9.8,0.6000000000000014,3,3,False,False,,,,497.0,84.24000000000001,82.57082125603866,10.028985507246322,0.6311594202898387,0.6311594202898387,-1.1104669887278635,10.029153052131473,9.39794154496261,9.39794154496261,6.682200309055964,68.31615120274914,11.57938144329897,11.349941066122154,1.378554708899841,0.08675730863090614,0.08675730863090614,-0.15264151047805696,1.3785680735917354,1.2918066100984982,1.2918066100984982,0.9185111967111537
