frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,16,16,5,5,2,2,2,2,7,7,0,305.0,298.0,299.0,299.0
1,1,0.2,16,16,9,9,1,1,2,2,4,4,0,305.0,298.0,299.0,299.0
2,2,0.4,14,14,6,6,0,0,2,2,6,6,0,305.0,298.0,299.0,299.0
3,3,0.6,11,11,5,5,0,0,2,2,4,4,0,305.0,298.0,299.0,299.0
4,4,0.8,9,9,3,3,0,0,2,2,4,4,1,305.0,298.0,299.0,299.0
5,5,1.0,13,13,7,7,1,1,2,2,3,3,1,305.0,298.0,299.0,299.0
6,6,1.2,13,13,7,7,0,0,2,2,4,4,1,305.0,298.0,299.0,299.0
7,7,1.4,15,12,10,7,0,0,2,2,3,3,1,305.0,298.0,299.0,299.0
8,8,1.6,10,10,5,5,1,1,2,2,2,2,1,305.0,298.0,299.0,299.0
9,9,1.8,12,11,7,6,0,0,2,2,3,3,1,305.0,298.0,299.0,299.0
10,10,2.0,11,11,4,4,1,1,2,2,4,4,1,305.0,298.0,299.0,299.0
11,11,2.2,10,10,5,5,0,0,2,2,3,3,1,305.0,298.0,299.0,299.0
12,12,2.4,10,10,6,6,0,0,2,2,2,2,2,305.0,298.0,299.0,299.0
13,13,2.6,14,14,6,6,1,1,2,2,5,5,2,305.0,298.0,299.0,299.0
14,14,2.8,13,12,7,6,0,0,2,2,4,4,2,305.0,298.0,299.0,299.0
15,15,3.0,12,12,4,4,1,1,2,2,5,5,2,305.0,298.0,299.0,299.0
16,16,3.2,17,17,4,4,1,1,8,8,4,4,2,305.0,298.0,299.0,299.0
17,17,3.4,13,13,4,4,1,1,6,6,2,2,2,305.0,298.0,299.0,299.0
18,18,3.6,10,10,5,5,0,0,2,2,3,3,2,305.0,298.0,299.0,299.0
19,19,3.8,13,13,5,5,1,1,2,2,5,5,2,305.0,298.0,299.0,299.0
20,20,4.0,10,10,4,4,0,0,2,2,4,4,2,305.0,298.0,299.0,299.0
21,21,4.2,10,10,5,5,0,0,3,3,2,2,2,305.0,298.0,299.0,299.0
22,22,4.4,10,10,4,4,0,0,3,3,3,3,2,305.0,298.0,299.0,299.0
23,23,4.6,17,13,10,6,1,1,3,3,3,3,2,305.0,298.0,299.0,299.0
24,24,4.8,13,12,7,6,0,0,2,2,4,4,3,305.0,298.0,299.0,299.0
25,25,5.0,13,11,7,5,0,0,2,2,4,4,4,305.0,298.0,299.0,299.0
26,26,5.2,13,10,6,3,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
27,27,5.4,12,10,6,4,0,0,2,2,4,4,4,305.0,298.0,299.0,299.0
28,28,5.6,11,10,4,3,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
29,29,5.8,8,8,2,2,0,0,2,2,4,4,4,305.0,298.0,299.0,299.0
30,30,6.0,9,9,2,2,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
31,31,6.2,10,10,2,2,1,1,2,2,5,5,4,305.0,298.0,299.0,299.0
32,32,6.4,12,11,4,3,1,1,2,2,5,5,4,305.0,298.0,299.0,299.0
33,33,6.6,10,9,3,2,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
34,34,6.8,10,10,3,3,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
35,35,7.0,9,8,4,3,1,1,2,2,2,2,4,305.0,298.0,299.0,299.0
36,36,7.2,13,11,6,4,1,1,2,2,4,4,4,305.0,298.0,299.0,299.0
37,37,7.4,11,9,5,3,1,1,2,2,3,3,4,305.0,298.0,299.0,299.0
38,38,7.6,18,11,4,2,1,1,9,4,4,4,4,305.0,298.0,299.0,299.0
39,39,7.8,17,11,5,3,1,1,8,4,3,3,5,305.0,298.0,299.0,299.0
40,40,8.0,18,11,6,3,1,1,8,4,3,3,5,305.0,298.0,299.0,299.0
41,41,8.2,16,10,5,2,1,1,7,4,3,3,5,305.0,298.0,299.0,299.0
42,42,8.4,15,10,4,2,1,1,7,4,3,3,5,305.0,298.0,299.0,299.0
43,43,8.6,16,10,6,3,0,0,7,4,3,3,5,305.0,298.0,299.0,299.0
44,44,8.8,14,9,3,1,1,1,7,4,3,3,5,305.0,298.0,299.0,299.0
45,45,9.0,17,10,6,3,0,0,8,4,3,3,5,305.0,298.0,299.0,299.0
46,46,9.2,15,11,4,3,1,1,7,4,3,3,5,305.0,298.0,299.0,299.0
47,47,9.4,13,10,6,3,1,1,3,3,3,3,5,305.0,298.0,299.0,299.0
48,48,9.6,9,9,3,3,0,0,3,3,3,3,5,305.0,298.0,299.0,299.0
49,49,9.8,12,9,6,3,0,0,3,3,3,3,5,305.0,298.0,299.0,299.0
