frame_index,source_frame_index,time_s,snapshot_raw_path,snapshot_transformed_path,snapshot_aligned_path,snapshot_annotated_path,snapshot_mask_path
0,0,0.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_000_t00.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_000_t00.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_000_t00.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_000_t00.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_000_t00.00s_mask.png
5,5,1.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_005_t01.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_005_t01.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_005_t01.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_005_t01.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_005_t01.00s_mask.png
10,10,2.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_010_t02.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_010_t02.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_010_t02.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_010_t02.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_010_t02.00s_mask.png
15,15,3.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_015_t03.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_015_t03.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_015_t03.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_015_t03.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_015_t03.00s_mask.png
20,20,4.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_020_t04.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_020_t04.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_020_t04.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_020_t04.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_020_t04.00s_mask.png
25,25,5.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_025_t05.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_025_t05.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_025_t05.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_025_t05.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_025_t05.00s_mask.png
30,30,6.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_030_t06.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_030_t06.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_030_t06.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_030_t06.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_030_t06.00s_mask.png
35,35,7.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_035_t07.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_035_t07.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_035_t07.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_035_t07.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_035_t07.00s_mask.png
40,40,8.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_040_t08.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_040_t08.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_040_t08.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_040_t08.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_040_t08.00s_mask.png
45,45,9.0,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_045_t09.00s_raw.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_045_t09.00s_transformed.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_045_t09.00s_aligned.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_045_t09.00s_annotated.png,/home/team8/z.avi_assay_tests/assayfinal1/outputs/assay/assay_20260414_154938/processed/proc_20260414_155002/snapshots/frame_045_t09.00s_mask.png
