frame_index,time_s,x_px,y_px,bbox_x,bbox_y,bbox_w,bbox_h,x_from_left_px,x_from_left_mm,y_from_base_px,y_from_base_mm,distance_from_base_px,distance_from_base_mm,relative_x,relative_height,detected,internal_track_id,display_id,physical_vial_index,assay_tube_index,label,dt_s,dx_px,dy_px,displacement_px,speed_px_s_raw,vertical_velocity_px_s_raw,height_px_smoothed,speed_px_s_smoothed,vertical_velocity_px_s_smoothed,height_mm_smoothed,vertical_velocity_mm_s_raw,vertical_velocity_mm_s_smoothed,displacement_mm,speed_mm_s_raw,speed_mm_s_smoothed
0,0.0,155.88732394366198,782.1971830985915,153,772,8,18,17.887323943661983,,6.802816901408505,,6.802816901408505,,0.08899166141125364,0.011133906548950091,True,1,1,1,1,"fly (1,1)",,,,,,,8.200650874946689,7.441340185893945,6.989169867690919,,,,,,
1,0.2,156.9090909090909,779.4015151515151,153,770,10,20,18.909090909090907,,9.598484848484873,,9.598484848484873,,0.094075079149706,0.015709467837127452,True,1,1,1,1,"fly (1,1)",0.2,1.0217669654289239,-2.7956679470763675,2.976536074357578,14.88268037178789,13.978339735381837,7.204474320671541,12.275859620993858,-2.651159482145431,,,,,,
2,0.4,157.06060606060606,783.7878787878788,152,780,10,8,19.060606060606062,,5.212121212121247,,5.212121212121247,,0.094828885873662,0.008530476615583055,True,1,1,1,1,"fly (1,1)",0.2,0.15151515151515582,4.386363636363626,4.388979698238737,21.944898491193683,-21.93181818181813,7.183782267115627,16.588151364930454,-0.10346026777957167,,,,,,
3,0.6,159.14814814814815,782.2592592592592,155,777,9,11,21.148148148148152,,6.740740740740762,,6.740740740740762,,0.10521466740372215,0.011032308904649365,True,1,1,1,1,"fly (1,1)",0.19999999999999996,2.08754208754209,-1.5286195286195152,2.5873750463619563,12.936875231809784,7.643097643097578,4.936668270001633,18.59085967136106,-11.235569985569969,,,,,,
4,0.8,157.60714285714286,786.1428571428571,155,784,6,6,19.60714285714286,,2.8571428571428896,,2.8571428571428896,,0.09754797441364607,0.004676174888940899,True,1,1,1,1,"fly (1,1)",0.20000000000000007,-1.5410052910052912,3.883597883597872,4.178161058215943,20.89080529107971,-19.417989417989354,4.557018109863672,14.11451642153986,-1.898250800689801,,,,,,
5,1.0,156.41463414634146,784.9268292682926,153,781,8,9,18.414634146341456,,4.073170731707364,,4.073170731707364,,0.09161509525543013,0.006666400542892577,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-1.1925087108014054,-1.2160278745644746,1.7031737483460174,8.515868741730088,6.080139372822375,4.846977685958943,16.121152551468622,1.449797880476357,,,,,,
6,1.2,157.7787610619469,781.3893805309734,151,775,13,15,19.77876106194691,,7.610619469026574,,7.610619469026574,,0.09840179632809408,0.012456005677621234,True,1,1,1,1,"fly (1,1)",0.19999999999999996,1.3641269156054534,-3.5374487373192096,3.791356724319214,18.956783621596074,17.68724368659605,6.137490790425507,10.65102666364396,6.452565522332825,,,,,,
7,1.4,157.6201550387597,782.2713178294574,153,775,11,15,19.62015503875969,,6.728682170542584,,6.728682170542584,,0.09761271163562035,0.011012573110544327,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-0.15860602318721817,0.8819372984839902,0.8960855255211431,4.4804276276057164,-4.409686492419952,7.070243403665927,10.59428263677128,4.663763066202098,,,,,,
8,1.6,155.95714285714286,782.1285714285714,151,776,10,14,17.957142857142856,,6.871428571428623,,6.871428571428623,,0.08933901918976545,0.011246200607902821,True,1,1,1,1,"fly (1,1)",0.20000000000000018,-1.6630121816168355,-0.14274640088603974,1.6691273322224116,8.345636661112051,0.713732004430198,8.505592469545945,12.748115981402307,7.1767453294000925,,,,,,
9,1.8,155.33333333333334,777.0833333333334,154,776,4,4,17.333333333333343,,11.916666666666629,,11.916666666666629,,0.0862354892205639,0.019503546099290718,True,1,1,1,1,"fly (1,1)",0.19999999999999996,-0.6238095238095127,-5.045238095238005,5.083656731097829,25.41828365548915,25.226190476190034,9.733962780514503,14.515656099409208,6.141851554842788,,,,,,
